length(mm),swing(rad),up_down(rad),FR(N),FL(N),RR(N),RL(N),External_force(N),Time(sec)
837.27784,-1.5333665,-0.78539816,51256.447,46522.15,37276.511,33340.123,0,24.080121
837.27784,-1.5394165,-0.78539816,51201.484,46461.866,37267.314,33329.507,0,24.160121
837.27784,-1.5449647,-0.78539816,51120.067,46391.482,37241.475,33306.453,0,24.240121
837.27784,-1.5500013,-0.78539816,51123.157,46400.751,37267.165,33343.037,0,24.320121
837.27784,-1.5545167,-0.78539816,51160.17,46436.246,37342.113,33414.099,0,24.400121
837.27784,-1.5585014,-0.78539816,51131.747,46418.315,37355.977,33432.571,0,24.480121
837.27784,-1.5619456,-0.78539816,51065.714,46346.801,37323.174,33394.402,0,24.560121
837.27784,-1.5648396,-0.78539816,51038.38,46328.185,37311.301,33393.946,0,24.640121
837.27784,-1.5671739,-0.78539816,51074.667,46367.933,37367.317,33449.019,0,24.720121
837.27784,-1.5689387,-0.78539816,51087.628,46382.052,37404.875,33488.393,0,24.800121
837.27784,-1.5701245,-0.78539816,51058.403,46360.286,37392.649,33472.571,0,24.880121
837.27784,-1.5707216,-0.78539816,51007.343,46300.448,37343.461,33423.657,0,24.960121
837.27784,-1.5707963,-0.78539816,51303.743,46644.616,37021.163,33164.696,0,25.040121
837.27784,-1.5707963,-0.78539816,51150.395,46410.84,37309.724,33370.105,0,25.120121
837.27784,-1.5707963,-0.78539816,51345.853,46654.195,37116.016,33229.25,0,25.200121
837.27784,-1.5707963,-0.78539816,51267.079,46553.829,37156.885,33254.032,0,25.280121
837.27784,-1.5707963,-0.78539816,51236.829,46535.758,37126.701,33227.403,0,25.360121
837.27784,-1.5707963,-0.78539816,51237.25,46533.398,37145.519,33242.954,0,25.440121
837.27784,-1.5707963,-0.78539816,51283.236,46574.835,37159.815,33256.772,0,25.520121
837.27784,-1.5707963,-0.78539816,51286.549,46578.407,37173.671,33272.581,0,25.600121
837.27784,-1.5707963,-0.78539816,51256.519,46538.524,37160.025,33252.64,0,25.680121
837.27784,-1.5707963,-0.78539816,51231.598,46543.511,37122.073,33226.642,0,25.760121
837.27784,-1.5707963,-0.78539816,51242.043,46543.301,37128.98,33234.017,0,25.840121
837.27784,-1.5707963,-0.78539816,51267.568,46554.858,37179.53,33268.958,0,25.920121
837.27784,-1.5707963,-0.78539816,51298.658,46575.842,37180.583,33272.029,0,26.000121
837.27784,-1.5707963,-0.78539816,51264.083,46559.245,37148.241,33248.016,0,26.080121
